id,type,driverType,maxSpeed,valueTime,probLaneChange,startTs,nodeOrigin_id,nodeDest_id,finishTs,laneType,currentLane_id,currentLaneProgress,timeBudget,changeLane,TravelTime,TravelCost
88,car,1,75,44.12886872,1,1546293631,13,2,1546294367,0,,,0,0,736,9.021902049
98,car,1,79,55.84408297,0.9,1546293631,2,13,1546294120,1,,,0,0,489,7.585487937
166,car,0,70,52.77098049,0.1,1546293635,24,4,1546294057,0,,,0,0,422,6.185931602
175,car,1,70,58.29942911,1,1546293635,4,24,1546293902,1,,,0,0,267,4.323874325
222,car,1,70,63.07557913,0.9,1546293635,21,4,1546293948,1,,,0,0,313,5.484071185
230,car,0,70,70.41405612,0,1546293635,4,21,1546293960,1,,,0,0,325,6.356824511
284,car,1,79,67.1748611,0.8,1546293635,20,4,1546294025,1,,,0,0,390,7.277276619
293,car,1,77,58.76566211,0.9,1546293635,4,20,1546293987,1,,,0,0,352,5.745975851
116,car,1,79,42.62460824,0.7,1546293641,13,5,1546294196,0,,,0,0,555,6.57129377
123,car,0,76,55.04342165,0.4,1546293641,5,13,1546293991,1,,,0,0,350,5.351443771
130,car,0,80,45.85707301,0.5,1546293641,13,18,1546294292,0,,,0,0,651,8.292487369
137,car,0,76,46.59015619,0,1546293641,18,13,1546294270,0,,,0,0,629,8.140335623
2,car,0,77,47.80297745,0.1,1546293641,12,1,1546293832,0,,,0,0,191,2.536213526
60,car,1,73,51.69421526,0.6,1546293641,12,18,1546294002,0,,,0,0,361,5.18378103
68,car,1,76,52.32702588,1,1546293641,18,12,1546293878,1,,,0,0,237,3.444862537
9,car,1,76,42.05320582,0.8,1546293641,1,12,1546293858,0,,,0,0,217,2.534873795
144,car,1,78,65.36013492,1,1546293649,24,1,1546294238,0,,,0,0,589,10.6936443
150,car,1,79,75.22122176,0.6,1546293649,1,24,1546294233,0,,,0,0,584,12.20255375
192,car,0,78,57.02617096,0.5,1546293649,24,18,1546294012,1,,,0,0,363,5.750138905
199,car,0,72,69.57334235,0.2,1546293649,18,24,1546294032,1,,,0,0,383,7.401830589
238,car,1,75,66.22337829,1,1546293649,21,5,1546293896,1,,,0,0,247,4.543659566
244,car,0,79,47.9696587,0.4,1546293649,5,21,1546294068,0,,,0,0,419,5.583135277
16,car,1,78,41.23148629,0.7,1546293661,12,2,1546294103,0,,,0,0,442,5.062310261
22,car,1,77,55.01920527,1,1546293661,2,12,1546293966,1,,,0,0,305,4.661349335
250,car,0,79,67.92985408,0.3,1546293661,21,18,1546294019,0,,,0,0,358,6.7552466
256,car,1,76,36.53546786,0.7,1546293661,18,21,1546294145,0,,,0,0,484,4.911990679
262,car,1,79,39.74020758,0.8,1546293661,20,1,1546294357,0,,,0,0,696,7.683106799
268,car,1,71,11.31299345,0.7,1546293661,1,20,1546294434,0,,,0,0,773,2.429151094
274,car,0,79,61.5584325,0.1,1546293661,20,2,1546294025,1,,,0,0,364,6.224241508
279,car,0,80,45.09270443,0.3,1546293661,2,20,1546294115,0,,,0,0,454,5.686691058
28,car,1,75,42.37432335,0.9,1546293661,12,4,1546293855,0,,,0,0,194,2.283505203
303,car,0,79,45.35617596,0.3,1546293661,20,5,1546294141,0,,,0,0,480,6.047490128
312,car,1,79,63.31683705,0.7,1546293661,5,20,1546294116,0,,,0,0,455,8.002544683
321,car,0,71,40.70031048,0.2,1546293661,20,18,1546293927,0,,,0,0,266,3.007300719
330,car,0,72,39.21496066,0.3,1546293661,18,20,1546293926,0,,,0,0,265,2.886656826
34,car,1,77,45.0713097,0.8,1546293661,4,12,1546293872,0,,,0,0,211,2.641679541
41,car,1,78,43.4340116,1,1546293661,12,5,1546293948,0,,,0,0,287,3.462655925
51,car,1,71,54.7492752,0.9,1546293661,5,12,1546293955,0,,,0,0,294,4.471190808
76,car,1,77,43.52108982,0.7,1546293661,13,1,1546294131,0,,,0,0,470,5.68192006
82,car,1,77,49.49577414,0.6,1546293661,1,13,1546294155,0,,,0,0,494,6.791920119
89,car,0,72,54.28802475,0.1,1546293661,13,2,1546294184,1,,,0,0,523,7.886843596
99,car,0,75,49.0378248,0.1,1546293661,2,13,1546294374,0,,,0,0,713,9.712213634
167,car,1,74,50.49126843,0.7,1546293669,24,4,1546294094,0,,,0,0,425,5.960774746
176,car,0,76,58.17220111,0.3,1546293669,4,24,1546293932,1,,,0,0,263,4.24980247
223,car,0,74,47.29460579,0.1,1546293669,21,4,1546294174,0,,,0,0,505,6.634382201
231,car,0,70,36.92886748,0.5,1546293669,4,21,1546294120,0,,,0,0,451,4.626366453
285,car,0,79,51.54943623,0.3,1546293669,20,4,1546294067,1,,,0,0,398,5.699076561
294,car,0,74,54.3176696,0.2,1546293669,4,20,1546294018,1,,,0,0,349,5.265796303
10,car,0,77,66.8254976,0.5,1546293681,1,12,1546293896,0,,,0,0,215,3.990967218
108,car,0,73,62.37112481,0.3,1546293681,13,4,1546294013,1,,,0,0,332,5.752003732
112,car,0,76,44.88316885,0.4,1546293681,4,13,1546294132,0,,,0,0,451,5.622863654
117,car,0,74,57.21929446,0.3,1546293681,13,5,1546294093,1,,,0,0,412,6.548430366
124,car,1,80,58.40160465,0.6,1546293681,5,13,1546294230,0,,,0,0,549,8.906244709
131,car,0,76,65.97956622,0,1546293681,13,18,1546294077,1,,,0,0,396,7.257752284
138,car,1,80,59.37108083,0.8,1546293681,18,13,1546294115,1,,,0,0,434,7.157513633
