id,departureTs,departureTs_c,VOT,VOT_c,type,type_c,TravelTimeDifference(h)
29,1546293667.0,1546293667.0,38.18420675078477,61.49833510792668,car,car,0.04083333333333333
30,1546293640.0,1546293640.0,54.85047315637824,63.649595287830586,car,car,0.03805555555555556
31,1546293788.0,1546293788.0,42.765684725090395,64.58144682686883,car,car,0.056666666666666664
32,1546293723.0,1546293723.0,34.86622313028592,49.28096271776075,car,car,0.04666666666666667
33,1546293642.0,1546293642.0,52.35633261835254,70.74881700213582,car,car,0.036944444444444446
34,1546293634.0,1546293634.0,41.14712928794022,57.57501550764265,car,car,0.035555555555555556
35,1546293699.0,1546293699.0,61.90761397821662,50.48242346507486,car,car,0.04555555555555556
36,1546293712.0,1546293712.0,39.85269853554343,44.49273459664316,car,car,0.044444444444444446
37,1546293823.0,1546293823.0,48.70049727473122,61.11604668035895,car,car,0.07777777777777778
38,1546293616.0,1546293616.0,38.95360479890024,62.896179329867294,car,car,0.028333333333333332
39,1546293638.0,1546293638.0,51.495049138714975,33.804138024876565,car,car,0.03916666666666667
40,1546293635.0,1546293635.0,52.22754169869591,56.77063377719811,bus,bus,0.03805555555555556
41,1546293836.0,1546293836.0,32.29961303278615,44.581837070556105,bus,bus,0.08666666666666667
42,1546293829.0,1546293829.0,54.92117274761095,44.471449951680725,bus,bus,0.0825
43,1546293766.0,1546293766.0,67.22506767654575,31.715136500367194,car,car,-0.01361111111111111
44,1546293660.0,1546293660.0,52.07799528251741,48.482008509759176,car,car,-0.005833333333333334
45,1546293650.0,1546293650.0,72.27277264239996,42.6830821189031,car,car,-0.005
46,1546293806.0,1546293806.0,46.54192610894241,42.188020836348,car,car,0.03916666666666667
47,1546293817.0,1546293817.0,73.92741534763763,42.47672480986853,car,car,-0.010833333333333334
48,1546293611.0,1546293611.0,59.95804632561558,51.0424426498839,car,car,-0.004166666666666667
49,1546293641.0,1546293641.0,44.81004749594226,53.118770873589646,car,car,0.03333333333333333
50,1546293692.0,1546293692.0,43.11327045263661,51.53576260031354,car,car,0.035833333333333335
51,1546293689.0,1546293689.0,34.544591213379505,37.103871661597864,car,car,0.03388888888888889
52,1546293649.0,1546293649.0,40.18540370707133,44.10619027839335,car,car,0.034444444444444444
53,1546293775.0,1546293775.0,73.14061889682245,33.64180989325976,car,car,-0.007222222222222222
54,1546293784.0,1546293784.0,50.09199000598245,46.9837776978215,car,car,-0.013888888888888888
55,1546293653.0,1546293653.0,55.326059496023106,63.66336155283548,bus,bus,-0.005833333333333334
56,1546293760.0,1546293760.0,44.99343435524959,67.91206091991866,bus,bus,0.026944444444444444
57,1546293708.0,1546293708.0,56.99221814584682,63.32827128257159,bus,bus,-0.0125
58,1546293823.0,1546293823.0,60.22037877571037,46.096779055992336,bus,bus,-0.013055555555555556
59,1546293797.0,1546293797.0,57.28341385897508,34.51379102869838,bus,bus,-0.015277777777777777
60,1546293689.0,1546293689.0,53.18701002600011,43.26640322190924,bus,bus,-0.010555555555555556
61,1546293708.0,1546293708.0,33.424351634106145,52.62752456272947,car,car,0.8808333333333334
62,1546293777.0,1546293777.0,48.89341106585678,52.74755307567717,car,car,1.0352777777777777
63,1546293832.0,1546293832.0,30.652871901784422,43.05606501555914,car,car,1.061388888888889
64,1546293763.0,1546293763.0,52.92926121580644,35.468307721232875,car,car,-0.03388888888888889
65,1546293723.0,1546293723.0,50.35354526829099,38.519569621766976,car,car,-0.0016666666666666668
66,1546293722.0,1546293722.0,38.42039483969559,46.95913244420303,car,car,0.9594444444444444
67,1546293833.0,1546293833.0,45.694969608316896,64.05063217465592,car,car,1.0608333333333333
68,1546293616.0,1546293616.0,48.939432721515914,39.629510921791116,car,car,0.17083333333333334
69,1546293751.0,1546293751.0,66.37374819038051,65.37630766207718,car,car,-0.008888888888888889
70,1546293789.0,1546293789.0,30.566652551161535,55.244198647167316,car,car,0.01972222222222222
71,1546293755.0,1546293755.0,51.85605552278545,37.39557571919055,car,car,-0.009444444444444445
72,1546293678.0,1546293678.0,54.24548601160845,42.79652498457742,car,car,0.6180555555555556
73,1546293745.0,1546293745.0,45.00712968048013,47.23746272858019,bus,bus,1.158611111111111
74,1546293745.0,1546293745.0,59.98249871597335,42.38384721513461,bus,bus,-0.008888888888888889
75,1546293604.0,1546293604.0,63.598841019989536,58.329627841878704,bus,bus,-0.03305555555555555
76,1546293817.0,1546293817.0,64.71761430192475,63.42705851435579,bus,bus,-0.034722222222222224
77,1546293838.0,1546293838.0,45.55319150108131,44.193773714168785,bus,bus,1.0769444444444445
78,1546293768.0,1546293768.0,50.24000388701156,42.03923230771797,bus,bus,-0.034722222222222224
79,1546293744.0,1546293744.0,39.42440350069511,42.69330426955372,car,car,0.023333333333333334
80,1546293753.0,1546293753.0,53.787761644912656,44.701419974889156,car,car,0.021944444444444444
81,1546293630.0,1546293630.0,50.50066592894033,58.54381557881026,car,car,0.020277777777777777
82,1546293607.0,1546293607.0,57.04951574964996,52.393014116831694,car,car,0.01972222222222222
83,1546293701.0,1546293701.0,53.516676151901564,61.80124753017914,car,car,0.023055555555555555
84,1546293637.0,1546293637.0,43.61898823464907,61.362722078825975,car,car,0.020277777777777777
85,1546293715.0,1546293715.0,52.25027625677973,35.41098881445572,car,car,0.024722222222222222
86,1546293810.0,1546293810.0,45.269009453261035,62.399270669766544,car,car,0.01861111111111111
87,1546293731.0,1546293731.0,38.809897055960164,51.88941648185514,car,car,0.025277777777777777
88,1546293624.0,1546293624.0,53.09529769004007,77.67675244200166,car,car,0.020277777777777777
89,1546293838.0,1546293838.0,30.992174106090506,30.743529503597017,car,car,0.01888888888888889
